考試標題,科目,題型,題號,題目,選項A,選項B,選項C,選項D,答案
113 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,3,證券投資信託事業及證券投資顧問事業經營全權委託投資業務管理辦法，係經由何法律授權訂之？,信託業法第十八條,證券投資信託及顧問法第五十條等,信託法第十八條之三,銀行法,D
113 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,4,證券投資顧問事業之負責人、部門主管、分支機構經理人、其他業務人員或受僱人，從事業務廣告 及公開舉辦證券投資分析活動，下列行為何者符合法令規定？,於廣告中僅揭示對公司本身有利之事項,於傳播媒體從事投資分析之同時，有招攬客戶之廣告行為,對證券市場之行情研判、市場分析及產業趨勢，列示合理研判依據,涉有個別有價證券未來買賣價位研判預測,B
113 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,5,有價證券買賣融資融券之額度、期限及融資比率、融券保證金成數，由主管機關商經下列何者同意 後定之？,臺灣銀行,中央銀行,臺灣證券交易所,財政部,B
113 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,6,股東就其持有之股份於一定條件下，得分別行使表決權，有人亦稱之「股東分割投票制度」。依現 行法相關適用「股東分割投票制度」之股東，下列敘述何者正確？,需為公開發行公司之股東,以自然人股東為限,需係為自己持有股份之股東,需為持有公司已發行股份總數百分之十以上股份之股東,C
113 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,7,下列何者事項，應由股東會決議始為合法？,選任經理人,選任董事,在章定股份總數內發行新股,選任重整人,B
113 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,8,下列關於公司轉投資之敘述，何者正確？,公司轉投資之對象若為無限公司，該投資行為無效,專業投資公司之投資總額不得超過公司實收資本額之百分之四十,公司進行轉投資時，其所需資金不得以貸款方式籌措,公司設立分公司仍屬於公司法第 13 條所謂之轉投資,A
113 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,9,下列關於公司保證行為之敘述，何者正確？甲：公司保證行為原則上為公司法所禁止，且範圍包括 提供物上擔保。乙：公司欲為保證，應於章程記載「得對外保證」或同義字樣。丙：公司負責人違 反公司法之規定而為保證，該保證行為對公司不生效力。,甲、乙,甲、丙,乙、丙,甲、乙、丙,B
113 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,10,董事會不為或不能行使職權，致公司有受損害之虞時，法院因利害關係人或檢察官之聲請，得選任 幾人充任臨時管理人，代行董事長及董事會之職權？,一人,五人,十人,無限制,C
113 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,11,下列關於公開發行公司發行普通公司債之敘述，何者正確？,公司於發行公司債時，得約定其受償順序次於公司其他債權,公司債之總額，不得逾公司現有全部資產減去全部負債及無形資產後之餘額之三倍,無擔保公司債之總額，不得逾公司現有全部資產減去全部負債及無形資產後之餘額三分之一,應由過半董事之出席，及出席董事過半數之同意行之,B
113 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,12,依公司法之規定，1人同時受2人以上委託代理行使表決權，不得超過已發行股份總數之百分之幾？,百分之十,百分之五,百分之三,百分之一,C
113 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,13,今有一股東甲，委託他人參加乙股份有限公司之股東會就某股東會議案表決同意，日後，甲又以書 面方式表決反對，但事後又反悔，故親自出席股東會並就該議案投下同意，若甲並無撤銷委託及撤 銷書面投票，且其委託之人當日亦有到場投票，請問乙公司依公司法之規定，應依何次投票為準？,委託投票,書面投票,親自投票,投票無效,C
113 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,14,依現行證券交易法，任何人單獨或與他人共同取得任一公開發行公司已發行股份總額超過百分之幾 之股份者，應向主管機關申報及公告？,百分之十,百分之五,百分之三,百分之一,D
113 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,15,下列何者非證券交易法所稱之有價證券？,認購權證,公司債券,政府債券,選擇權契約,A
113 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,16,下列有關有價證券私募之敘述，何者為非？,公開發行股票之公司不得於股東會以臨時動議提出新股私募之議案,新股私募之議案應經有代表已發行股份總數過半數股東之出席，出席股東三分之二以上同意，,有價證券私募之應募人及購買人，自該私募有價證券交付日起滿三年，不得再行賣出,僅普通股得作為私募之標的，特別股不得為私募之標的,C
113 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,17,下列何者股票於募集及發行時，無庸依證券交易法第 22 條向主管機關申報生效？,普通股股票於創櫃板募集及發行時,私募之普通股補辦公開發行時,普通股股票於流通市場再次公開發行時,上市公司募集發行可轉換公司債時,C
113 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,18,下列關於審計委員會及獨立董事之敘述，何者錯誤？,依金管會之函釋，所有上市櫃公司皆應設立審計委員會,依證券交易法發行股票之公司，得同時設立審計委員會及監察人,一名自然人最多得同時兼任四家公司之獨立董事,獨立董事之選舉應依公司法第 192 條之1採提名制度,D
113 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,19,甲申報並公告公開收購 A 上市公司之股票，下列敘述何者錯誤？,甲不得調降公開收購之價格,若應賣之股數超過預定收購之股數，甲應依比例收購,若於收購期間屆滿前，已達預定收購之數量，甲可以提前結束公開收購,甲之配偶不得於公開收購期間於集中交易市場購買 A 公司之股票,A
113 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,20,甲為抬高 A 上市股份有限公司之股價，於集中交易市場交易期間，連續以自己與乙的名義，高價 購入 A 公司之股票，請問甲之行為屬違反證券交易法禁止之何種行為？,相對委託,沖洗買賣,違約不交割,內線交易,B
113 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,21,公開說明書所記載之主要內容倘有虛偽之情事時，下列何者須負無過失責任？,總經理,董事長,負責簽證之會計師,發行人,D
113 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,22,依照證交法中之規定，受到內線交易規定所規範之人，實際知悉發行股票公司有重大影響其支付本 息能力之消息時，在該消息明確後，未公開前或公開後幾個小時內，不得對該公司之上市或在證券 商營業處所買賣之非股權性質之公司債，自行或以他人名義賣出？,24 小時,12 小時,18 小時,20 小時,A
113 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,23,依照證交法中之規定，下列何者非為內線交易規範主體？,持有該公司之股份百分之五之股東,該公司之法人董事代表人,該公司離職三個月的董事,董事長司機,B
113 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,24,關於審計委員會之獨立董事成員職權，下列敘述何者正確？,得以單獨召集董事會,得以單獨召集股東會,得以在董事為自己或他人與公司為買賣、借貸或其他法律行為時，由其為公司之代表,得以隨時調查公司業務及財務狀況，查核、抄錄或複製簿冊文件,B
113 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,25,甲公司依證券交易法之規定擬進行私募，下列何者不能成為其私募之對象？,乙銀行,甲公司董事之秘書,丙保險公司,甲公司董事,B
113 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,26,A 上市公司之董事甲因短線交易獲利 500 萬，試問就此 500 萬利益，下列敘述何者正確？,董事或監察人不行使歸入權以致公司受損害時，對公司負連帶賠償之責,是否對甲行使歸入權，應該以股東會決議通過,一經發現短線交易情事，股東得以逕行為公司行使歸入權,歸入權並無消滅時效,D
113 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,27,A 公開發行股份有限公司設有獨立董事甲乙丙三人，並設有審計委員會，下列敘述何者正確？,甲乙丙三人必同時為審計委員會成員,審計委員會必至少一人有法律專長,審計委員會全體成員二分之一以上同意者，董事會不得為相反之決定,如有正當理由致審計委員會無法召開時，證交法規定之應由審計委員會決議事項得由全體董事,C
113 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,28,目前國際間 PE Fund通常採取下列何種組織型態？,有限公司,兩合公司,有限合夥,獨資,C
113 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,申論題,1,為提升資訊透明度及強化證劵商管理，立法院院會於112年4月21日三讀通過行政院送請立法院審議 之「證券交易法」第43條之1、第178條之1條文修正草案，請說明修法重點。(10分),,,,,
113 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,申論題,2,A公司為一非公開發行、非閉鎖之股份有限公司，今擬發行下列條件之特別股，試分析下列特別股條件 是否合法可發行。 (一)甲種特別股：持有甲種特別股之股東，得對將來公司併購事項行使否決權。(5 分) (二)乙種特別股：持有乙種特別股之股東，得指定當選 1 席監察人。(5 分),,,,,
113 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,申論題,3,為管理「非屬證券投資信託事業及證券投資顧問事業者」，及「網際網路平台提供者」，立法院院會於112 年5月30日三讀通過行政院送請立法院審議之「證券投資信託及顧問法」增訂第70條之1及第113 條之1條文修正條文，請說明重點。(10分) 113 年第 1 次,,,,,
113 年第 1 次證券投資分析人員資格測驗試題,投資學,選擇題,1,以下有關可轉債套利操作之敘述，何者是正確的？,當可轉債的市價低於其轉換價值時，投資人便可進行買進標的股票，賣出可轉債之套利操作,在可轉債套利操作期間若遇到股東會的召開，將有助於降低操作風險,在進行可轉債套利操作時，股票與可轉債的買賣時點最好不要有落差,只要可轉債的市價低於其轉換價值，可轉債套利操作便可獲利,A
113 年第 1 次證券投資分析人員資格測驗試題,投資學,選擇題,2,某投資人在民國 95 年中參加上市股票除權，當天除權含有員工分紅配股，收盤時股票漲停，結果 他發現本來當天漲停板漲幅應在 7%左右，他的股票卻只漲了3%，最主要是因為：,政府抽取鉅額交易稅,政府抽取鉅額證券交易所得稅,皆非,選項,C
